Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
D28	SOD-323_L1.8-W1.3-LS2.5-BI	90.37mm	8.83mm	90.37mm	8.83mm	90.37mm	9.95mm	T	270	PESD3V3L1BA-N
D29	SOD-323_L1.8-W1.3-LS2.5-BI	66.24mm	10.88mm	66.24mm	10.88mm	66.24mm	12mm	T	270	PESD3V3L1BA-N
D31	SOD-323_L1.8-W1.3-LS2.5-BI	91.65mm	10.88mm	91.65mm	10.88mm	91.65mm	12mm	T	270	PESD3V3L1BA-N
D44	SOD-323_L1.8-W1.3-LS2.5-BI	64.96mm	8.83mm	64.96mm	8.83mm	64.96mm	9.95mm	T	270	PESD3V3L1BA-N
D53	SOD-323_L1.8-W1.3-LS2.5-BI	68.8mm	10.88mm	68.8mm	10.88mm	68.8mm	12mm	T	270	PESD3V3L1BA-N
D60	SOD-323_L1.8-W1.3-LS2.5-BI	62.46mm	8.83mm	62.46mm	8.83mm	62.46mm	9.95mm	T	270	PESD3V3L1BA-N
D63	SOD-323_L1.8-W1.3-LS2.5-BI	63.68mm	10.88mm	63.68mm	10.88mm	63.68mm	12mm	T	270	PESD3V3L1BA-N
D64	SOD-323_L1.8-W1.3-LS2.5-BI	71.3mm	10.88mm	71.3mm	10.88mm	71.3mm	12mm	T	270	PESD3V3L1BA-N
D65	SOD-323_L1.8-W1.3-LS2.5-BI	81.47mm	10.88mm	81.47mm	10.88mm	81.47mm	12mm	T	270	PESD3V3L1BA-N
D66	SOD-323_L1.8-W1.3-LS2.5-BI	70.08mm	8.83mm	70.08mm	8.83mm	70.08mm	9.95mm	T	270	PESD3V3L1BA-N
D67	SOD-323_L1.8-W1.3-LS2.5-BI	75.14mm	8.83mm	75.14mm	8.83mm	75.14mm	9.95mm	T	270	PESD3V3L1BA-N
D68	SOD-323_L1.8-W1.3-LS2.5-BI	73.86mm	10.88mm	73.86mm	10.88mm	73.86mm	12mm	T	270	PESD3V3L1BA-N
D73	SOD-323_L1.8-W1.3-LS2.5-BI	86.59mm	10.88mm	86.59mm	10.88mm	86.59mm	12mm	T	270	PESD3V3L1BA-N
D74	SOD-323_L1.8-W1.3-LS2.5-BI	72.58mm	8.83mm	72.58mm	8.83mm	72.58mm	9.95mm	T	270	PESD3V3L1BA-N
D75	SOD-323_L1.8-W1.3-LS2.5-BI	80.19mm	8.83mm	80.19mm	8.83mm	80.19mm	9.95mm	T	270	PESD3V3L1BA-N
D76	SOD-323_L1.8-W1.3-LS2.5-BI	77.7mm	8.83mm	77.7mm	8.83mm	77.7mm	9.95mm	T	270	PESD3V3L1BA-N
D77	SOD-323_L1.8-W1.3-LS2.5-BI	78.98mm	10.88mm	78.98mm	10.88mm	78.98mm	12mm	T	270	PESD3V3L1BA-N
D78	SOD-323_L1.8-W1.3-LS2.5-BI	76.42mm	10.88mm	76.42mm	10.88mm	76.42mm	12mm	T	270	PESD3V3L1BA-N
D83	SOD-323_L1.8-W1.3-LS2.5-BI	85.31mm	8.83mm	85.31mm	8.83mm	85.31mm	9.95mm	T	270	PESD3V3L1BA-N
D84	SOD-323_L1.8-W1.3-LS2.5-BI	82.75mm	8.83mm	82.75mm	8.83mm	82.75mm	9.95mm	T	270	PESD3V3L1BA-N
D85	SOD-323_L1.8-W1.3-LS2.5-BI	84.03mm	10.88mm	84.03mm	10.88mm	84.03mm	12mm	T	270	PESD3V3L1BA-N
D88	D0402-BI	5.44mm	41.65mm	5.44mm	41.65mm	5.44mm	42.15mm	T	270	0402ESDA-05N
